Date,Platform,Amount Spent,Impressions,Reach,Link Clicks,Landing View,Add to Carts,Initial Checkpoint,Purchases,Purchase Value,Frequency
2025-10-22,google,1451.36,42413,42413,739,345,14,5,3,1051.82,1
2025-10-23,google,1563.13,89062,89062,1946,1233,11,4,2,917.22,1
2025-10-24,google,1623.55,86862,86862,2045,1290,1,3,3,692.85,1
2025-10-25,google,1255.79,54035,54035,1340,811,0,3,4,1593.47,1
2025-10-26,google,905.74,42866,42866,1241,848,0,0,5,1288.98,1
2025-10-27,google,624.55,17821,17821,452,282,0,0,4,799.73,1
2025-10-28,google,452.01,5520,5520,165,244,3,0,6,1507.15,1
2025-10-29,google,616.11,10675,10675,315,183,6,0,8,2486.6,1
2025-10-30,google,889.65,19915,19915,910,367,0,0,5,1304.4,1
2025-10-31,google,1148.45,41439,41439,1928,717,0,0,2,713,1
2025-11-01,google,592.3,5438,5438,200,75,0,0,4,1535.8,1
2025-11-02,google,467.75,4219,4219,183,69,0,0,6,3595.5,1
2025-11-03,google,573.13,3702,3702,177,78,0,0,1,595,1
2025-11-04,google,874.15,6735,6735,245,100,0,0,7,1811.3,1
2025-11-05,google,1257.68,23106,23106,627,313,4,9,6,10817.92,1
2025-11-06,google,852.04,22617,22617,534,221,0,0,1,280.5,1
2025-11-07,google,822.66,15619,15619,342,139,0,0,1,228,1
2025-11-08,google,806.27,12137,12137,302,118,0,0,1,395,1
2025-11-09,google,921.07,12874,12874,317,167,2,0,3,1185.3,1
2025-11-10,google,764.77,13532,13532,335,183,1,3,2,282.01,1
2025-11-11,google,846,10529,10529,324,186,6,9,2,500.25,1
2025-11-12,google,569.42,12403,12403,321,123,0,0,3,1084.01,1
2025-11-13,google,626.49,14008,14008,327,75,2,0,1,129,1
2025-11-14,google,553.98,11458,11458,210,5,9,0,3,790.5,1
2025-11-15,google,281.2,9387,9387,153,38,13,2,3,2232.8,1
2025-11-16,google,358.7,5540,5540,132,27,5,0,2,424.2,1
2025-11-17,google,0,0,0,0,0,0,0,0,0,0
2025-11-18,google,0,0,0,0,0,0,0,0,0,0
2025-11-19,google,0,0,0,0,0,0,0,0,0,0
2025-11-20,google,107.1,675,675,18,10,0,0,0,0,1
2025-11-21,google,97.1,113,113,28,52,1,0,0,0,1
2025-11-22,google,22.84,42,42,8,7,0,0,0,0,1
2025-11-23,google,231.42,1739,1739,45,95,2,1,1,565,1
2025-11-24,google,131.46,3005,3005,70,161,3,18,1,849,1
2025-11-25,google,108.89,2149,2149,60,143,1,6,0,0,1
2025-11-26,google,150.47,1644,1644,81,270,8,9,1,198,1
2025-11-27,google,597.77,2091,2091,132,644,37,34,2,772.2,1
2025-11-28,google,498.61,2311,2311,117,408,23,11,0,0,1
2025-11-29,google,800.81,3072,3072,172,473,11,5,0,0,1
2025-11-30,google,794.16,4102,4102,235,674,13,3,0,0,1
2025-12-01,google,762.05,2882,2882,198,528,2,2,0,0,1
2025-12-02,google,493.06,3491,3491,181,455,14,15,2,358.2,1
2025-12-03,google,338.82,3941,3941,163,471,11,9,1,1227.5,1
2025-12-04,google,391.97,3181,3181,155,471,9,4,1,349,1
2025-12-05,google,461.51,2158,2158,116,426,16,19,1,80,1
2025-12-06,google,284.4,1752,1752,109,474,22,40,2,1101.1,1
2025-12-07,google,292.18,1598,1598,107,598,34,68,7,1691.8,1
2025-12-08,google,291.94,1251,1251,110,367,6,28,2,599,1
2025-12-09,google,302.65,1122,1122,72,259,6,11,2,209,1
2025-12-10,google,334.36,998,998,75,301,13,6,1,179.1,1
2025-12-11,google,322.11,759,759,74,414,19,10,1,360,1
2025-12-12,google,200.69,592,592,43,162,1,2,0,0,1
2025-12-13,google,55.19,410,410,17,55,0,0,0,0,1
2025-12-14,google,115.82,300,300,28,38,0,1,0,0,1
2025-12-15,google,100.89,265,265,24,0,2,0,0,0,1
2025-12-16,google,125.28,140,140,24,0,7,2,0,0,1
2025-12-17,google,0,0,0,0,0,0,0,0,0,0
2025-12-18,google,0,0,0,0,0,0,0,0,0,0
2025-12-19,google,0,0,0,0,0,0,0,0,0,0
2025-12-20,google,0,0,0,0,0,0,0,0,0,0
2025-12-21,google,0,0,0,0,0,0,0,0,0,0
2025-12-22,google,0,0,0,0,0,0,0,0,0,0
2025-12-23,google,157.26,2929,2929,47,0,3,2,0,0,1
2025-12-24,google,423.34,6392,6392,146,150,2,0,0,0,1
